epoch,train_loss,train_tok_acc,val_loss,val_tok_acc,val_seq_acc,val_tok_acc_decode,lr,tf_ratio,time
epoch,train_loss,train_tok_acc,val_loss,val_tok_acc,val_seq_acc,val_tok_acc_decode,lr,tf_ratio,time
epoch,train_loss,train_tok_acc,val_loss,val_tok_acc,val_seq_acc,val_tok_acc_decode,lr,tf_ratio,time
35,1.617756,0.799882,1.498196,0.712854,0.424342,0.698698,0.00075807,0.6746,275.6
36,1.604756,0.803810,1.555131,0.707061,0.428454,0.692214,0.00075471,0.6713,273.8
37,1.591674,0.806536,1.444160,0.725752,0.437500,0.711033,0.00075123,0.6679,272.9
38,1.585039,0.809382,1.480706,0.713883,0.450658,0.699576,0.00074764,0.6646,275.5
39,1.565404,0.813299,1.466438,0.724429,0.458882,0.709327,0.00074392,0.6613,272.8
40,1.563778,0.814067,1.424861,0.725225,0.453125,0.705621,0.00074009,0.6579,272.4
41,1.556096,0.816698,1.374661,0.739897,0.463816,0.722685,0.00073614,0.6547,273.5
42,1.533940,0.821995,1.404296,0.732539,0.458882,0.718639,0.00073207,0.6514,273.3
43,1.526562,0.824303,1.348164,0.740398,0.487664,0.723222,0.00072790,0.6481,274.6
44,1.519961,0.826170,1.331157,0.745903,0.490954,0.730437,0.00072361,0.6449,272.3
45,1.517904,0.826424,1.343027,0.750816,0.495066,0.737702,0.00071921,0.6417,270.8
46,1.502676,0.830897,1.268680,0.760280,0.502467,0.747306,0.00071470,0.6385,274.7
47,1.496476,0.832475,1.281654,0.761868,0.500000,0.748574,0.00071008,0.6353,272.7
48,1.490733,0.834023,1.393299,0.741499,0.490954,0.725854,0.00070536,0.6321,273.7
49,1.483743,0.836993,1.266926,0.757205,0.497533,0.744625,0.00070053,0.6289,276.8
50,1.473587,0.838054,1.347917,0.753044,0.507401,0.742382,0.00069560,0.6258,267.9
51,1.452502,0.844275,1.226260,0.768955,0.525493,0.757350,0.00069057,0.6227,275.5
52,1.455434,0.843133,1.271415,0.760924,0.526316,0.747599,0.00068544,0.6195,273.4
53,1.440048,0.847707,1.278277,0.759472,0.516447,0.745551,0.00068022,0.6164,274.5
54,1.450990,0.845706,1.213744,0.773730,0.527138,0.761396,0.00067489,0.6134,277.2
55,1.434918,0.848914,1.241212,0.772647,0.544408,0.758959,0.00066948,0.6103,273.3
56,1.433266,0.848597,1.222947,0.774602,0.536184,0.763932,0.00066397,0.6072,269.8
57,1.424031,0.851866,1.176290,0.783038,0.539474,0.772025,0.00065837,0.6042,275.2
58,1.430224,0.850861,1.187228,0.779249,0.544408,0.768076,0.00065268,0.6012,272.6
59,1.411145,0.854833,1.226402,0.776463,0.546875,0.764419,0.00064691,0.5982,273.1
60,1.402713,0.857191,1.225591,0.773426,0.553454,0.763005,0.00064105,0.5952,275.7
61,1.400323,0.858623,1.169174,0.782543,0.561678,0.772122,0.00063511,0.5922,273.2
62,1.397784,0.859067,1.093903,0.793057,0.551809,0.784506,0.00062909,0.5892,277.5
63,1.395104,0.858998,1.179026,0.785011,0.566612,0.773390,0.00062300,0.5863,272.3
64,1.386243,0.862241,1.154305,0.787432,0.569079,0.778070,0.00061682,0.5834,270.9
65,1.378633,0.864303,1.153238,0.787235,0.558388,0.777144,0.00061057,0.5805,277.0
66,1.372907,0.865921,1.152551,0.787781,0.566612,0.775389,0.00060425,0.5776,272.7
67,1.366627,0.867654,1.119840,0.793432,0.564967,0.781727,0.00059786,0.5747,269.1
68,1.366031,0.867722,1.180484,0.782910,0.550164,0.774219,0.00059140,0.5718,262.5
69,1.351349,0.871482,1.123368,0.792892,0.575658,0.783043,0.00058488,0.5689,270.7
70,1.359689,0.869270,1.110850,0.795665,0.563322,0.786310,0.00057830,0.5661,276.4
71,1.357353,0.870489,1.086386,0.801032,0.576480,0.792209,0.00057165,0.5633,277.9
72,1.343505,0.873216,1.151159,0.792548,0.571546,0.781044,0.00056494,0.5604,270.0
73,1.345929,0.872116,1.121434,0.792988,0.565789,0.780313,0.00055818,0.5576,274.2
74,1.337001,0.875099,1.054358,0.804035,0.592928,0.796938,0.00055136,0.5548,269.0
75,1.336771,0.874678,1.045531,0.803537,0.591283,0.793087,0.00054450,0.5521,263.5
76,1.328021,0.877661,1.069311,0.804288,0.578947,0.795232,0.00053758,0.5493,276.7
77,1.327566,0.876961,1.101229,0.799287,0.599507,0.788552,0.00053062,0.5466,274.2
78,1.323694,0.879207,1.094406,0.802102,0.601151,0.792258,0.00052361,0.5438,271.1
79,1.316706,0.880025,1.059798,0.803606,0.595395,0.792648,0.00051656,0.5411,275.6
80,1.313923,0.881224,1.033739,0.811314,0.598684,0.802301,0.00050947,0.5384,273.5
81,1.304871,0.883101,1.126545,0.798584,0.584704,0.788309,0.00050234,0.5357,275.3
82,1.311358,0.881561,1.084331,0.804189,0.595395,0.793184,0.00049517,0.5330,275.3
83,1.304130,0.883178,1.110005,0.801274,0.601974,0.792063,0.00048798,0.5304,257.7
84,1.289343,0.888082,1.048732,0.809336,0.603618,0.800985,0.00048075,0.5277,271.6
85,1.299944,0.884310,1.064269,0.807148,0.587993,0.799912,0.00047350,0.5251,277.3
86,1.284425,0.887640,1.083492,0.802465,0.583059,0.795427,0.00046622,0.5225,273.7
87,1.285939,0.888355,1.033979,0.810376,0.592928,0.801424,0.00045892,0.5198,265.1
88,1.281803,0.888954,0.988997,0.820677,0.596217,0.812735,0.00045160,0.5172,266.2
89,1.274418,0.891450,1.024123,0.815105,0.599507,0.809273,0.00044426,0.5147,269.6
90,1.279273,0.890443,0.966757,0.819959,0.599507,0.809712,0.00043691,0.5121,274.0
91,1.279665,0.889396,1.021542,0.815377,0.615954,0.805178,0.00042954,0.5095,271.6
92,1.269198,0.893058,0.983901,0.820490,0.606086,0.813320,0.00042216,0.5070,274.5
93,1.263769,0.893791,1.017923,0.815203,0.608553,0.806007,0.00041478,0.5044,276.7
94,1.257751,0.895718,0.979500,0.822540,0.609375,0.814636,0.00040739,0.5019,272.6
95,1.249090,0.898153,0.994665,0.820879,0.611020,0.812588,0.00040000,0.4994,273.3
96,1.257129,0.895908,1.019339,0.814874,0.620066,0.807420,0.00039261,0.4969,276.4
97,1.248021,0.897807,1.009704,0.816769,0.607730,0.807957,0.00038522,0.4944,272.9
98,1.245056,0.899048,0.993383,0.820950,0.615132,0.811321,0.00037784,0.4920,276.5
99,1.240897,0.900153,0.936861,0.831543,0.626645,0.823266,0.00037046,0.4895,274.9
100,1.242465,0.899405,0.937154,0.829837,0.622533,0.822924,0.00036309,0.4871,272.6
101,1.224842,0.904548,0.943276,0.830158,0.627467,0.822778,0.00035574,0.4846,275.0
102,1.227841,0.903392,0.956287,0.829561,0.614309,0.821364,0.00034840,0.4822,271.6
103,1.217765,0.906424,0.910400,0.837075,0.627467,0.829409,0.00034108,0.4798,271.8
104,1.223444,0.904515,0.954266,0.831990,0.625822,0.824338,0.00033378,0.4774,276.4
105,1.212220,0.907058,0.989410,0.823834,0.624178,0.818634,0.00032650,0.4750,273.6
106,1.209974,0.908015,0.915851,0.835128,0.629934,0.827848,0.00031925,0.4726,273.2
107,1.209987,0.908041,0.925399,0.833542,0.625000,0.826727,0.00031202,0.4703,277.6
108,1.214355,0.907695,0.934217,0.829674,0.639803,0.822339,0.00030483,0.4679,272.6
109,1.205562,0.908817,0.953174,0.829912,0.632401,0.823607,0.00029766,0.4656,275.2
